location,size,total_sqft,bath,price,bhk,price_per_sqft
Alipore,5 BHK,3905.0,7.0,290.0,5,7426.376440460947
Alipore,2 BHK,1030.0,2.0,50.0,2,4854.368932038835
Alipore,3 BHK,1220.0,3.0,56.0,3,4590.163934426229
Alipore,3 BHK,1530.0,3.0,73.5,3,4803.921568627451
Alipore,2 Bedroom,1200.0,2.0,78.0,2,6500.0
Alipore,3 BHK,2000.0,3.0,85.0,3,4250.0
Alipore,1 BHK,300.0,1.0,20.0,1,6666.666666666667
Alipore,3 BHK,1751.0,2.0,115.0,3,6567.6756139348945
Alipore,2 BHK,1255.0,2.0,79.0,2,6294.820717131474
Alipore,3 BHK,1778.0,3.0,122.0,3,6861.6422947131605
Alipore,2 BHK,1100.0,2.0,45.0,2,4090.909090909091
Alipore,2 BHK,1480.0,2.0,65.0,2,4391.891891891892
Alipore,2 BHK,1358.0,2.0,81.0,2,5964.653902798233
Alipore,2 BHK,1125.0,2.0,40.0,2,3555.5555555555557
Alipore,3 BHK,1320.0,2.0,55.44,3,4200.0
Alipore,3 BHK,1730.0,3.0,110.0,3,6358.381502890174
Alipore,3 BHK,1804.0,3.0,115.0,3,6374.7228381374725
Alipore,3 BHK,1795.0,3.0,140.0,3,7799.442896935933
Alipore,2 BHK,1050.0,2.0,50.0,2,4761.9047619047615
Alipore,3 BHK,2100.0,3.0,120.0,3,5714.285714285715
Alipore,3 BHK,1199.0,2.0,48.5,3,4045.0375312760634
Alipore,2 BHK,1100.0,2.0,47.0,2,4272.727272727273
Alipore,2 Bedroom,1000.0,1.0,75.0,2,7500.0
Alipore,3 BHK,1254.0,2.0,70.0,3,5582.13716108453
Alipore,2 BHK,940.0,2.0,49.0,2,5212.765957446809
Alipore,2 BHK,1280.0,2.0,80.0,2,6250.0
Alipore,4 BHK,2155.0,3.0,125.0,4,5800.46403712297
Alipore,5 Bedroom,3200.0,5.0,140.0,5,4375.0
Alipore,4 BHK,4260.0,4.0,272.0,4,6384.976525821597
Alipore,3 BHK,1255.0,2.0,95.0,3,7569.721115537848
Alipore,3 BHK,1388.0,3.0,69.99,3,5042.50720461095
Alipore,1 RK,905.0,1.0,52.0,1,5745.85635359116
Alipore,2 BHK,1176.0,2.0,44.0,2,3741.496598639456
Alipore,3 BHK,1390.0,2.0,61.16,3,4400.0
Alipore,2 BHK,1160.0,2.0,55.0,2,4741.379310344828
Alipore,4 BHK,2800.0,4.0,140.0,4,5000.0
Alipore,3 BHK,1583.0,3.0,115.0,3,7264.687302590019
Alipore,3 BHK,1252.0,3.0,63.0,3,5031.948881789137
Alipore,2 BHK,1170.0,2.0,86.0,2,7350.427350427351
Alipore,3 BHK,1350.0,2.0,51.0,3,3777.777777777778
Alipore,2 BHK,972.0,2.0,40.0,2,4115.22633744856
Alipore,3 BHK,1486.0,3.0,83.22,3,5600.269179004038
Alipore,4 Bedroom,4830.0,5.0,390.0,4,8074.534161490683
Alipore,2 BHK,850.0,2.0,75.0,2,8823.529411764706
Alipore,4 BHK,2790.0,4.0,198.0,4,7096.774193548387
Alipore,4 BHK,2383.0,5.0,215.0,4,9022.24087284935
Alipore,2 BHK,1103.0,2.0,55.0,2,4986.400725294651
Alipore,3 BHK,1577.0,3.0,67.0,3,4248.57324032974
Alipore,3 BHK,1465.0,3.0,80.01,3,5461.433447098977
Alipore,3 BHK,1600.0,3.0,64.0,3,4000.0
Alipore,2 BHK,1090.0,2.0,45.0,2,4128.440366972477
Alipore,3 BHK,1721.0,3.0,80.86,3,4698.4311446833235
Alipore,3 BHK,1260.0,3.0,63.58,3,5046.0317460317465
Alipore,2 BHK,1116.0,2.0,37.0,2,3315.4121863799282
Alipore,2 Bedroom,1200.0,1.0,65.0,2,5416.666666666667
Alipore,2 BHK,1312.0,2.0,69.0,2,5259.1463414634145
Alipore,4 Bedroom,1230.0,4.0,80.0,4,6504.065040650406
Alipore,1 BHK,654.0,1.0,22.0,1,3363.914373088685
Alipore,2 BHK,1145.0,2.0,57.0,2,4978.1659388646285
Alipore,2 BHK,1302.5,2.0,67.73,2,5200.0
Alipore,4 BHK,3317.5,5.0,268.5,4,8093.443858327054
Alipore,2 BHK,1300.0,2.0,50.0,2,3846.153846153846
Alipore,3 BHK,2040.0,3.0,200.0,3,9803.921568627451
Alipore,4 Bedroom,2420.0,4.0,190.0,4,7851.239669421488
Alipore,2 BHK,1216.0,2.0,80.0,2,6578.9473684210525
Alipore,3 BHK,1459.0,2.0,110.0,3,7539.410555174777
Alipore,3 BHK,1622.0,2.0,80.0,3,4932.182490752158
Alipore,3 BHK,1843.0,3.0,85.0,3,4612.045577862181
Alipore,2 BHK,1274.0,2.0,81.0,2,6357.9277864992155
Alipore,2 Bedroom,600.0,1.0,52.0,2,8666.666666666666
Alipore,3 BHK,1430.0,2.0,69.5,3,4860.1398601398605
Alipore,3 BHK,1565.0,2.0,57.91,3,3700.3194888178914
Alipore,3 BHK,1670.0,3.0,160.0,3,9580.838323353293
Alipore,3 BHK,1695.0,3.0,150.0,3,8849.557522123894
Alipore,2 BHK,1410.0,2.0,75.0,2,5319.148936170212
Alipore,2 BHK,1060.0,2.0,42.0,2,3962.264150943396
Alipore,2 BHK,1120.0,2.0,50.0,2,4464.285714285715
Alipore,2 Bedroom,880.0,2.0,50.0,2,5681.818181818182
Alipore,2 BHK,1083.0,2.0,32.49,2,3000.0
Alipore,3 BHK,1435.0,3.0,57.2,3,3986.062717770035
Alipore,3 BHK,1425.0,2.0,56.99,3,3999.2982456140353
Alipore,2 BHK,900.0,2.0,50.0,2,5555.555555555556
Alipore,5 BHK,2400.0,5.0,93.0,5,3875.0
Alipore,1 BHK,693.0,1.0,34.3,1,4949.494949494949
Alipore,4 BHK,2435.0,4.0,119.0,4,4887.063655030801
Alipore,3 BHK,1920.0,3.0,150.0,3,7812.5
Alipore,1 BHK,630.0,1.0,47.0,1,7460.31746031746
Alipore,3 BHK,1075.0,2.0,50.0,3,4651.162790697675
Alipore,1 BHK,705.0,1.0,55.0,1,7801.418439716312
Alipore,2 BHK,920.0,2.0,46.0,2,5000.0
Alipore,2 BHK,1230.0,2.0,55.0,2,4471.544715447155
Alipore,4 BHK,2856.0,5.0,158.5,4,5549.7198879551825
Baguiati,2 BHK,782.0,2.0,55.68,2,7120.204603580562
Baguiati,3 BHK,1768.0,3.0,101.0,3,5712.669683257918
Baguiati,3 BHK,1600.0,3.0,86.0,3,5375.0
Baguiati,2 BHK,1070.0,2.0,39.0,2,3644.8598130841124
Baguiati,2 BHK,1180.0,2.0,69.0,2,5847.457627118644
Baguiati,2 BHK,856.0,2.0,40.0,2,4672.897196261682
Baguiati,2 BHK,1215.0,2.0,50.0,2,4115.22633744856
Baguiati,2 Bedroom,1350.0,2.0,80.0,2,5925.925925925926
Baguiati,2 BHK,950.0,2.0,32.5,2,3421.0526315789475
Baguiati,3 BHK,1521.0,3.0,94.99,3,6245.233399079553
Baguiati,3 BHK,1250.0,3.0,50.0,3,4000.0
Baguiati,2 BHK,1485.0,2.0,90.0,2,6060.606060606061
Baguiati,2 BHK,1105.0,2.0,51.0,2,4615.384615384615
Baguiati,3 BHK,1652.0,3.0,70.0,3,4237.28813559322
Baguiati,2 BHK,1070.0,2.0,46.0,2,4299.065420560748
Baguiati,3 BHK,2400.0,2.0,150.0,3,6250.0
Baguiati,3 BHK,1270.0,3.0,45.0,3,3543.3070866141734
Baguiati,3 BHK,1938.0,3.0,113.0,3,5830.7533539731685
Baguiati,2 BHK,1110.0,2.0,58.0,2,5225.225225225226
Baguiati,2 BHK,1550.0,2.0,59.0,2,3806.451612903226
Baguiati,3 BHK,975.0,2.0,45.0,3,4615.384615384615
Baguiati,2 BHK,1447.0,2.0,75.97,2,5250.172771250864
Ballygunge,2 BHK,708.0,2.0,37.0,2,5225.988700564972
Ballygunge,3 BHK,1600.0,3.0,64.0,3,4000.0
Ballygunge,2 BHK,1150.0,2.0,70.0,2,6086.95652173913
Ballygunge,2 BHK,1200.0,2.0,45.0,2,3750.0
Ballygunge,3 BHK,1190.0,2.0,57.0,3,4789.915966386555
Ballygunge,3 BHK,1590.0,2.0,125.0,3,7861.635220125786
Ballygunge,2 BHK,1275.0,2.0,52.0,2,4078.4313725490197
Ballygunge,3 BHK,1397.0,3.0,105.0,3,7516.1059413027915
Ballygunge,2 BHK,1128.0,2.0,59.0,2,5230.49645390071
Ballygunge,2 BHK,1190.0,2.0,57.0,2,4789.915966386555
Ballygunge,3 BHK,1550.0,3.0,65.0,3,4193.548387096775
Ballygunge,1 BHK,785.0,1.0,55.0,1,7006.369426751592
Ballygunge,2 BHK,1197.0,2.0,84.0,2,7017.543859649123
Ballygunge,3 Bedroom,2500.0,3.0,135.0,3,5400.0
Ballygunge,3 BHK,1475.0,2.0,58.99,3,3999.322033898305
Ballygunge,2 BHK,1098.0,2.0,72.0,2,6557.377049180328
Ballygunge,3 BHK,1725.0,2.0,100.0,3,5797.101449275362
Ballygunge,3 BHK,1350.0,3.0,58.99,3,4369.62962962963
Ballygunge,4 BHK,4395.0,4.0,242.0,4,5506.257110352673
Ballygunge,2 BHK,1085.0,2.0,47.74,2,4400.0
Ballygunge,3 BHK,1480.0,2.0,64.23,3,4339.864864864865
Ballygunge,2 BHK,957.0,2.0,46.9,2,4900.73145245559
Ballygunge,1 BHK,790.5,1.0,41.9,1,5300.44275774826
Ballygunge,3 BHK,1697.0,3.0,114.0,3,6717.737183264585
Ballygunge,3 BHK,1920.0,2.0,88.0,3,4583.333333333333
Ballygunge,3 BHK,1025.0,2.0,37.0,3,3609.756097560976
Ballygunge,2 BHK,1100.0,2.0,70.0,2,6363.636363636364
Ballygunge,3 BHK,1250.0,2.0,55.0,3,4400.0
Ballygunge,2 BHK,900.0,2.0,46.0,2,5111.111111111111
Ballygunge,3 BHK,1300.0,2.0,52.0,3,4000.0
Ballygunge,2 BHK,1150.0,2.0,52.8,2,4591.304347826087
Ballygunge,2 BHK,1139.0,2.0,80.0,2,7023.705004389815
Ballygunge,4 BHK,3122.0,5.0,225.0,4,7206.91864189622
Ballygunge,3 BHK,1920.0,3.0,150.0,3,7812.5
Ballygunge,2 BHK,1106.0,2.0,43.09,2,3896.021699819168
Ballygunge,2 BHK,1150.0,2.0,56.0,2,4869.565217391304
Ballygunge,1 BHK,580.0,1.0,27.0,1,4655.172413793103
Ballygunge,2 BHK,1366.0,2.0,83.0,2,6076.134699853587
Ballygunge,3 BHK,3300.0,4.0,160.0,3,4848.484848484848
Ballygunge,3 BHK,1150.0,2.0,60.0,3,5217.391304347826
Ballygunge,3 BHK,1460.0,3.0,70.0,3,4794.520547945205
Ballygunge,2 BHK,1020.0,2.0,41.82,2,4100.0
Ballygunge,3 BHK,1355.0,2.0,58.27,3,4300.369003690037
Ballygunge,3 BHK,2197.0,3.0,136.0,3,6190.259444697314
Bansdroni,1 BHK,425.0,1.0,20.03,1,4712.941176470588
Bansdroni,2 BHK,1155.0,2.0,59.95,2,5190.476190476191
Bansdroni,2 BHK,1100.0,2.0,48.0,2,4363.636363636364
Bansdroni,2 BHK,1150.0,2.0,52.0,2,4521.739130434783
Bansdroni,1 Bedroom,600.0,1.0,60.0,1,10000.0
Bansdroni,3 BHK,1075.0,3.0,36.0,3,3348.8372093023254
Bansdroni,4 BHK,2825.0,4.0,250.0,4,8849.557522123894
Bansdroni,2 BHK,950.0,2.0,31.0,2,3263.157894736842
Bansdroni,3 BHK,1396.0,2.0,86.51,3,6196.991404011461
Bansdroni,2 BHK,1161.0,2.0,55.15,2,4750.215331610681
Bansdroni,3 BHK,1654.0,3.0,100.0,3,6045.949214026602
Bansdroni,2 BHK,1105.0,2.0,52.48,2,4749.321266968326
Bansdroni,3 BHK,1385.0,2.0,48.48,3,3500.361010830325
Bansdroni,3 BHK,1373.0,3.0,72.0,3,5243.991260014566
Bansdroni,2 BHK,1180.0,2.0,58.0,2,4915.254237288135
Bansdroni,3 BHK,1390.0,3.0,120.0,3,8633.093525179856
Bansdroni,4 Bedroom,1200.0,4.0,72.0,4,6000.0
Bansdroni,3 BHK,1985.0,4.0,189.0,3,9521.410579345089
Bansdroni,3 BHK,1616.0,3.0,75.0,3,4641.089108910891
Bansdroni,5 Bedroom,1800.0,6.0,44.5,5,2472.222222222222
Bansdroni,3 BHK,1306.0,3.0,54.65,3,4184.532924961715
Bansdroni,2 BHK,1100.0,2.0,50.0,2,4545.454545454545
Bansdroni,3 BHK,1570.0,3.0,64.5,3,4108.28025477707
Bansdroni,2 BHK,1300.0,2.0,110.0,2,8461.538461538461
Bansdroni,2 BHK,770.0,1.0,40.0,2,5194.805194805195
Bansdroni,4 BHK,2690.0,4.0,191.0,4,7100.371747211896
Bansdroni,2 BHK,1200.0,2.0,53.33,2,4444.166666666667
Bansdroni,3 BHK,1550.0,2.0,70.0,3,4516.129032258064
Bansdroni,3 BHK,1420.0,2.0,75.0,3,5281.69014084507
Bansdroni,3 BHK,1840.0,3.0,155.0,3,8423.91304347826
Bansdroni,2 BHK,936.0,2.0,42.0,2,4487.179487179487
Bansdroni,2 BHK,1155.0,2.0,60.0,2,5194.805194805195
Bansdroni,1 Bedroom,1500.0,1.0,37.5,1,2500.0
Bansdroni,2 BHK,1100.0,2.0,53.0,2,4818.181818181818
Bansdroni,3 BHK,1250.0,3.0,71.0,3,5680.0
Bansdroni,3 BHK,1200.0,3.0,66.0,3,5500.0
Bansdroni,3 BHK,1190.0,3.0,55.0,3,4621.848739495798
Bansdroni,2 BHK,900.0,2.0,22.5,2,2500.0
Bansdroni,2 BHK,1300.0,2.0,79.0,2,6076.923076923077
Bansdroni,3 BHK,1453.0,2.0,43.59,3,3000.0
Bansdroni,2 BHK,927.0,2.0,37.0,2,3991.3700107874865
Bansdroni,2 BHK,1263.0,2.0,78.0,2,6175.771971496437
Bansdroni,3 BHK,1485.0,2.0,67.0,3,4511.784511784512
Bansdroni,2 BHK,1115.0,2.0,60.0,2,5381.165919282511
Bansdroni,2 BHK,1170.0,2.0,40.0,2,3418.803418803419
Bansdroni,2 BHK,1205.0,2.0,75.0,2,6224.066390041494
Bansdroni,3 BHK,1925.0,3.0,110.0,3,5714.285714285715
Bansdroni,2 BHK,1339.0,2.0,58.0,2,4331.59073935773
Bansdroni,2 BHK,1246.0,2.0,65.4,2,5248.796147672553
Bansdroni,2 BHK,1080.0,2.0,41.0,2,3796.296296296296
Bansdroni,2 BHK,1116.0,2.0,37.6,2,3369.1756272401435
Bansdroni,2 BHK,1031.0,2.0,53.0,2,5140.640155189137
Baranagar,2 BHK,1150.0,2.0,55.0,2,4782.608695652174
Baranagar,2 BHK,1196.0,2.0,94.42,2,7894.648829431439
Baranagar,2 Bedroom,1000.0,2.0,64.0,2,6400.0
Baranagar,5 Bedroom,2800.0,5.0,125.0,5,4464.285714285715
Baranagar,3 BHK,1575.0,3.0,90.0,3,5714.285714285715
Baranagar,4 BHK,2107.0,4.0,95.0,4,4508.780256288562
Baranagar,2 BHK,1000.0,2.0,35.0,2,3500.0
Baranagar,3 BHK,1460.0,2.0,75.0,3,5136.986301369863
Baranagar,2 BHK,1340.0,2.0,60.0,2,4477.611940298508
Baranagar,3 BHK,1600.0,3.0,61.37,3,3835.625
Baranagar,3 BHK,2000.0,3.0,145.0,3,7250.0
Baranagar,2 BHK,1233.0,2.0,100.0,2,8110.300081103001
Barasat,2 BHK,1056.0,2.0,39.07,2,3699.810606060606
Barasat,2 BHK,1185.0,2.0,75.0,2,6329.113924050633
Barasat,3 BHK,1427.0,3.0,120.0,3,8409.250175192712
Barasat,4 Bedroom,4000.0,4.0,330.0,4,8250.0
Barasat,2 BHK,1036.0,2.0,105.0,2,10135.135135135135
Barasat,2 BHK,1100.0,2.0,70.0,2,6363.636363636364
Barasat,3 BHK,1700.0,2.0,100.0,3,5882.35294117647
Barasat,3 BHK,1850.0,3.0,110.0,3,5945.945945945946
Barasat,2 BHK,904.0,2.0,30.0,2,3318.5840707964603
Barasat,3 BHK,1476.0,3.0,75.0,3,5081.30081300813
Barasat,3 BHK,2100.0,3.0,75.0,3,3571.4285714285716
Barisha Purba Para Road,3 BHK,1630.0,2.0,98.0,3,6012.269938650306
Barisha Purba Para Road,3 BHK,1150.0,2.0,55.0,3,4782.608695652174
Barisha Purba Para Road,2 BHK,1015.0,2.0,25.88,2,2549.753694581281
Barisha Purba Para Road,5 Bedroom,4500.0,5.0,415.0,5,9222.222222222223
Barisha Purba Para Road,2 BHK,975.0,2.0,65.0,2,6666.666666666667
Barisha Purba Para Road,3 BHK,1157.0,2.0,75.0,3,6482.281763180639
Barisha Purba Para Road,2 BHK,674.0,2.0,29.0,2,4302.670623145401
Barisha Purba Para Road,3 BHK,1450.0,2.0,85.0,3,5862.068965517241
Barisha Purba Para Road,1 BHK,340.0,1.0,10.0,1,2941.176470588235
Barisha Purba Para Road,4 Bedroom,2000.0,3.0,166.0,4,8300.0
Barisha Purba Para Road,2 BHK,1050.0,2.0,53.5,2,5095.238095238095
Barisha Purba Para Road,2 BHK,687.325,2.0,42.72,2,6215.40028370858
Barisha Purba Para Road,2 BHK,900.0,2.0,46.0,2,5111.111111111111
Barisha Purba Para Road,4 Bedroom,3850.0,6.0,195.0,4,5064.935064935065
Barisha Purba Para Road,1 BHK,500.0,1.0,17.0,1,3400.0
Barisha Purba Para Road,2 BHK,1080.0,2.0,43.2,2,4000.0
Barisha Purba Para Road,2 BHK,920.0,2.0,33.0,2,3586.9565217391305
Barisha Purba Para Road,2 BHK,1157.0,2.0,53.8,2,4649.956784788245
Barisha Purba Para Road,4 BHK,2400.0,5.0,85.0,4,3541.6666666666665
Barisha Purba Para Road,2 BHK,1243.0,2.0,58.0,2,4666.130329847144
Barisha Purba Para Road,3 BHK,1530.0,2.0,74.39,3,4862.091503267974
Barisha Purba Para Road,2 BHK,1000.0,2.0,28.88,2,2888.0
Barisha Purba Para Road,2 BHK,982.0,2.0,24.55,2,2500.0
Barisha Purba Para Road,3 Bedroom,1375.0,3.0,57.0,3,4145.454545454545
Barisha Purba Para Road,7 Bedroom,2800.0,7.0,125.0,7,4464.285714285715
Barisha Purba Para Road,2 BHK,845.0,2.0,37.0,2,4378.698224852071
Barisha Purba Para Road,2 BHK,883.0,2.0,39.0,2,4416.761041902605
Barisha Purba Para Road,3 BHK,1595.0,3.0,88.0,3,5517.241379310345
Barisha Purba Para Road,2 BHK,1062.0,2.0,42.47,2,3999.0583804143125
Barisha Purba Para Road,3 Bedroom,2611.0,3.0,239.0,3,9153.581003446956
Barisha Purba Para Road,3 BHK,1875.0,2.0,150.0,3,8000.0
Barisha Purba Para Road,3 BHK,1705.0,3.0,74.16,3,4349.560117302053
Barisha Purba Para Road,2 BHK,1242.0,2.0,39.7,2,3196.45732689211
Barisha Purba Para Road,3 BHK,1220.0,3.0,35.23,3,2887.7049180327863
Barisha Purba Para Road,3 BHK,1360.0,2.0,75.0,3,5514.705882352941
Barisha Purba Para Road,2 BHK,950.0,2.0,39.0,2,4105.263157894737
Barisha Purba Para Road,2 BHK,1035.0,2.0,41.73,2,4031.884057971014
Barisha Purba Para Road,2 BHK,1150.0,2.0,39.0,2,3391.304347826087
Barisha Purba Para Road,2 BHK,1031.0,2.0,56.35,2,5465.56741028128
Barisha Purba Para Road,1 BHK,606.0,1.0,34.78,1,5739.273927392739
Barisha Purba Para Road,2 BHK,1300.0,2.0,85.0,2,6538.461538461538
Barisha Purba Para Road,2 BHK,1260.0,2.0,75.0,2,5952.380952380952
Barisha Purba Para Road,2 BHK,1385.0,2.0,83.09,2,5999.27797833935
Barisha Purba Para Road,2 BHK,1216.0,2.0,97.16,2,7990.131578947368
Barisha Purba Para Road,2 BHK,970.0,2.0,35.0,2,3608.2474226804125
Barisha Purba Para Road,3 BHK,1100.0,3.0,53.0,3,4818.181818181818
Barisha Purba Para Road,3 BHK,1460.0,2.0,73.0,3,5000.0
Barisha Purba Para Road,3 Bedroom,2400.0,3.0,85.0,3,3541.6666666666665
Barisha Purba Para Road,2 BHK,1118.0,2.0,30.0,2,2683.3631484794278
Barisha Purba Para Road,3 BHK,1475.0,3.0,96.0,3,6508.474576271186
Barisha Purba Para Road,2 BHK,1150.0,2.0,40.0,2,3478.2608695652175
Barisha Purba Para Road,3 BHK,1571.0,3.0,105.0,3,6683.64099299809
Barisha Purba Para Road,3 BHK,1445.0,3.0,86.56,3,5990.311418685121
Barisha Purba Para Road,3 BHK,1330.0,3.0,72.0,3,5413.533834586467
Barisha Purba Para Road,3 BHK,1801.0,3.0,139.0,3,7717.9344808439755
Barrackpore,3 BHK,2050.0,3.0,145.0,3,7073.170731707317
Barrackpore,4 Bedroom,4200.0,4.0,420.0,4,10000.0
Barrackpore,3 Bedroom,1200.0,2.0,70.0,3,5833.333333333333
Barrackpore,1 Bedroom,750.0,1.0,56.25,1,7500.0
Barrackpore,3 BHK,1260.0,2.0,60.0,3,4761.9047619047615
Barrackpore,3 BHK,1561.0,3.0,95.0,3,6085.842408712364
Barrackpore,2 BHK,1175.0,2.0,52.0,2,4425.531914893617
Barrackpore,2 BHK,920.0,2.0,63.0,2,6847.826086956522
Barrackpore,2 BHK,883.0,2.0,39.0,2,4416.761041902605
Behala,2 BHK,1330.74,2.0,91.79,2,6897.665960292769
Behala,2 BHK,1140.0,2.0,43.0,2,3771.9298245614036
Behala,2 BHK,1296.0,2.0,80.0,2,6172.83950617284
Behala,2 BHK,861.0,2.0,34.5,2,4006.968641114983
Behala,1 BHK,400.0,1.0,11.0,1,2750.0
Behala,2 BHK,1025.0,2.0,44.5,2,4341.463414634146
Behala,2 BHK,929.0,2.0,46.0,2,4951.560818083961
Behala,2 Bedroom,1200.0,2.0,45.84,2,3820.0
Behala,3 BHK,1691.0,2.0,102.0,3,6031.933767001774
Behala,2 BHK,1100.0,2.0,38.0,2,3454.5454545454545
Behala,4 Bedroom,1200.0,4.0,120.0,4,10000.0
Behala,2 BHK,1330.0,2.0,92.5,2,6954.887218045113
Behala,1 BHK,565.0,1.0,35.0,1,6194.690265486725
Behala,4 Bedroom,2325.0,4.0,120.0,4,5161.290322580645
Behala,2 BHK,924.0,2.0,65.0,2,7034.632034632034
Behala,3 BHK,1558.67,2.0,65.0,3,4170.222048284755
Behala,2 BHK,1075.0,2.0,51.5,2,4790.697674418605
Behala,2 BHK,1380.0,2.0,80.0,2,5797.101449275362
Behala,2 BHK,999.0,2.0,45.0,2,4504.504504504504
Behala,3 BHK,2200.0,3.0,187.0,3,8500.0
Behala,3 Bedroom,3329.0,3.0,330.0,3,9912.886752778611
Behala,2 BHK,1291.0,2.0,49.0,2,3795.5073586367157
Behala,2 BHK,1070.0,2.0,42.0,2,3925.233644859813
Behala,2 BHK,1012.0,2.0,66.5,2,6571.146245059289
Behala,3 BHK,1400.0,2.0,73.0,3,5214.285714285715
Behala,4 Bedroom,2863.0,4.0,140.0,4,4889.97555012225
Behala,6 Bedroom,3770.0,6.0,110.0,6,2917.7718832891246
Behala,2 BHK,1060.0,2.0,62.0,2,5849.056603773585
Behala,3 Bedroom,1168.0,3.0,70.0,3,5993.1506849315065
Behala,4 Bedroom,2100.0,4.0,155.0,4,7380.952380952381
Behala,4 BHK,3000.0,4.0,160.0,4,5333.333333333333
Behala,1 BHK,654.0,1.0,38.4,1,5871.559633027523
Behala,2 BHK,1181.0,2.0,55.0,2,4657.070279424217
Behala,4 BHK,3715.0,6.0,224.5,4,6043.06864064603
Behala,2 BHK,1300.0,2.0,60.0,2,4615.384615384615
Behala,3 BHK,1890.0,2.0,85.0,3,4497.354497354498
Behala,2 Bedroom,1200.0,2.0,120.0,2,10000.0
Behala,4 BHK,2422.0,4.0,160.0,4,6606.110652353427
Behala,2 BHK,882.0,2.0,30.0,2,3401.360544217687
Behala,2 BHK,1280.0,2.0,85.0,2,6640.625
Behala,2 BHK,920.0,2.0,35.0,2,3804.3478260869565
Behala,2 BHK,1330.0,2.0,93.36,2,7019.548872180451
Behala,4 Bedroom,2028.0,4.0,162.0,4,7988.165680473373
Behala,2 BHK,980.0,2.0,45.47,2,4639.7959183673465
Behala,2 BHK,1050.0,2.0,62.0,2,5904.761904761905
Behala,2 BHK,1065.0,2.0,42.6,2,4000.0
Behala,2 BHK,1418.0,2.0,95.0,2,6699.576868829337
Behala,2 BHK,812.0,2.0,55.0,2,6773.399014778325
