location,size,total_sqft,bath,price
New Town,2 BHK,1270,2.0,50.0
Hussainpur,3 BHK,1670,3.0,99.0
Dum Dum Park,3 BHK,2010,3.0,91.0
Barasat,2 BHK,1185,2.0,75.0
New Town,3 BHK,1600,2.0,75.0
Rajarhat,2 BHK,1200,2.0,44.0
Dum Dum,4 Bedroom,3010 - 3410,,192.0
Bhadreswar,2 BHK,1500,2.0,185.0
Dum Dum,6 Bedroom,1407,4.0,150.0
Dum Dum,2 BHK,840,2.0,45.0
New Town,3 Bedroom,4395,3.0,240.0
Garia,2 BHK,845,2.0,55.0
New Town,4 Bedroom,5700,5.0,650.0
south dum dum,2 BHK,1160,2.0,44.0
Rajarhat,8 Bedroom,3000,8.0,140.0
Santoshpur,2 BHK,1100,2.0,62.0
Behala,2 BHK,1140,2.0,43.0
Rajarhat,2 BHK,1220,2.0,57.0
Gariahat,8 Bedroom,1350,7.0,85.0
Uttarpara Kotrung,2 BHK,1005,2.0,36.68
Lake Gardens,3 Bedroom,500,3.0,100.0
Rajarhat,2 BHK,1358,2.0,80.58
Rajarhat,3 BHK,1569,3.0,101.0
New Town,2 BHK,1240,2.0,70.0
New Town,3 BHK,2089,3.0,140.0
Kalighat,2 BHK,1206,2.0,48.23
Garia,2 BHK,1150,2.0,40.0
Belghoria,3 BHK,2511,3.0,205.0
Garia,2 BHK,460,1.0,22.0
Tangra,6 Bedroom,4400,6.0,250.0
Tagore Park,3 BHK,1660,2.0,105.0
Kamardanga,4 Bedroom,2957 - 3450,,224.5
New Town,2 BHK,1326,2.0,78.0
Rajarhat,3 BHK,1325,2.0,60.8
Mukundapur,3 BHK,1499,5.0,102.0
Tollygunge,6 Bedroom,3000,7.0,210.0
Mukundapur,3 BHK,1665,3.0,88.0
Ballygunge,2 BHK,708,2.0,37.0
Keshtopur,2 BHK,1060,2.0,58.06
Purba Putiary,6 Bedroom,710,6.0,160.0
New Town,2 BHK,1000,2.0,70.0
Ariadaha,2 BHK,1000,2.0,28.88
Garia,3 BHK,1450,2.0,70.0
Rahara,4 Bedroom,1200,4.0,155.0
Behala,2 BHK,1296,2.0,80.0
Kasba,3 BHK,1540,3.0,90.0
New Town,4 Bedroom,2894,4.0,245.0
New Town,3 BHK,1330,2.0,48.0
New Town,2 BHK,1200,2.0,65.0
Sodepur,3 Bedroom,1200,3.0,90.0
Paschim Putiary,3 BHK,2502,3.0,138.0
New Alipore,2 BHK,650,1.0,17.0
New Town,3 Bedroom,2400,2.0,150.0
Mukundapur,2 BHK,1007,2.0,43.0
Howrah,2 BHK,1200,2.0,50.0
Dum Dum,2 BHK,966,2.0,49.9
Barisha Purba Para Road,3 BHK,1630,2.0,98.0
Behala,3 BHK,1640,3.0,229.0
Baguiati,2 BHK,782,2.0,55.68
New Town,2 BHK,1260,2.0,66.78
Kasba,3 BHK,1800,3.0,120.0
Mukundapur,3 BHK,1413,2.0,75.0
Tiljala,2 BHK,1116,2.0,51.91
Airport,3 BHK,1530,2.0,45.9
East Kolkata Township,4 Bedroom,3700,4.0,225.0
New Town,3 Bedroom,2497,3.0,140.0
Dum Dum,3 BHK,1540,2.0,64.0
raghunathpur,3 BHK,1436,3.0,74.75
Garia,2 BHK,1100,2.0,75.0
Barasat,2 Bedroom,276,3.0,23.0
Barasat,3 BHK,1427,3.0,120.0
Keshtopur,3 BHK,2061,3.0,200.0
Keshtopur,4 BHK,3067 - 8156,4.0,477.0
Keshtopur,4 BHK,2650,4.0,150.0
Rajarhat,3 BHK,1282,2.0,68.52
Rajarhat,2 BHK,1050,2.0,34.0
Rajarhat,3 BHK,1600,3.0,65.0
New Town,2 BHK,945,2.0,54.0
New Town,2 BHK,1500,2.0,78.0
New Town,7 Bedroom,950,7.0,115.0
New Town,3 BHK,1870,3.0,110.0
Rajarhat,3 Bedroom,1600,3.0,75.0
Rajarhat,2 BHK,880,1.0,16.5
Rajarhat,4 Bedroom,1200,4.0,210.0
Rajarhat,3 BHK,1535,3.0,83.0
Rajarhat,2 BHK,950,2.0,57.0
Rajarhat,2 BHK,1360,2.0,65.0
Rajarhat,2 BHK,1042 - 1105,2.0,54.005
Rajarhat,3 BHK,1280,3.0,50.4
Rajarhat,3 BHK,1260,2.0,85.05
Rajarhat,8 Bedroom,5000,8.0,250.0
Narendrapur,5 BHK,3050,5.0,213.0
Narendrapur,3 BHK,1563.05,3.0,105.0
Rajarhat,2 BHK,1000,2.0,60.0
New Town,2 BHK,1167,2.0,43.76
Joka,7 BHK,4000,7.0,225.0
Joka,3 BHK,1828,3.0,110.0
Joka,2 BHK,890,2.0,35.0
Joka,3 BHK,1612,3.0,46.74
Joka,6 Bedroom,1034,5.0,185.0
Joka,3 BHK,1710,4.0,91.31
Joka,2 BHK,957,2.0,58.0
Joka,3 BHK,1250,2.0,44.0
Joka,3 BHK,2795,4.0,235.0
Joka,2 BHK,1125,2.0,50.0
Joka,2 BHK,1020,2.0,30.6
Joka,2 BHK,1200,2.0,50.0
Chkravarti Para,3 BHK,1735,3.0,135.0
Barrackpore,3 BHK,2050,3.0,145.0
Tangra,4 Bedroom,3750,4.0,760.0
Tangra,3 BHK,1350,2.0,48.0
Tangra,2 BHK,1063,2.0,32.0
Rajarhat,3 BHK,1904,3.0,150.0
Barrackpore,4 Bedroom,4200,4.0,420.0
Rajarhat,3 BHK,2000,3.0,175.0
Rajarhat,2 BHK,1145 - 1340,2.0,43.49
Sonarpur,3 BHK,1425,2.0,75.0
Sonarpur,3 BHK,1500,2.0,64.5
Sonarpur,2 BHK,1060,2.0,60.0
Sonarpur,3 BHK,1470,2.0,70.0
Sonarpur,6 BHK,1300,6.0,99.0
Sonarpur,1 BHK,450,1.0,11.0
Sonarpur,2 BHK,1152,2.0,64.5
Sonarpur,3 BHK,1350,2.0,56.0
Sonarpur,3 BHK,1550,3.0,65.0
Sonarpur,3 Bedroom,1500,3.0,100.0
Sonarpur,5 Bedroom,600,3.0,85.0
Sonarpur,1 Bedroom,400,1.0,14.0
Sonarpur,1 BHK,705,1.0,67.0
Sonarpur,2 BHK,770,1.0,36.0
Sonarpur,2 BHK,1242,2.0,51.0
Sonarpur,3 BHK,1700,3.0,155.0
Sonarpur,3 BHK,2144,3.0,145.0
Sonarpur,3 BHK,1704,3.0,110.0
Sonarpur,2 BHK,1070,2.0,52.0
Sonarpur,3 Bedroom,1846,3.0,300.0
Sonarpur,2 BHK,1340,2.0,55.7
Madhyamgram,2 BHK,1025,2.0,46.0
Madhyamgram,2 BHK,1015 - 1540,2.0,56.8
Madhyamgram,2 BHK,1200,2.0,52.0
Madhyamgram,4 Bedroom,2250,4.0,110.0
Madhyamgram,3 BHK,1550,2.0,80.0
Dum Dum,4 Bedroom,1200,5.0,325.0
Dum Dum,7 Bedroom,1800,7.0,250.0
Dum Dum,2 BHK,1200,2.0,60.0
Dum Dum,2 BHK,1327,2.0,98.0
Dum Dum,2 BHK,1186,2.0,58.0
Dum Dum,3 Bedroom,1783,3.0,115.0
New Town,3 BHK,1400,3.0,56.0
New Town,2 BHK,980,2.0,48.0
New Town,2 BHK,1285,2.0,82.0
New Town,3 BHK,912,2.0,70.0
Rajarhat,2 BHK,1225,2.0,47.6
Rajarhat,2 BHK,1075,2.0,53.0
Rajarhat,3 BHK,1260,2.0,54.0
Rajarhat,3 BHK,1282,2.0,48.7
Rajarhat,3 BHK,1909,3.0,88.0
Rajarhat,2 BHK,1359,2.0,87.0
Tollygunge,2 BHK,1207,2.0,43.5
Ultadanga,4 Bedroom,1736,6.0,190.0
Lake Town,4 BHK,2850,4.0,428.0
Lake Town,3 BHK,1595,3.0,65.0
Lake Town,3 BHK,1798,3.0,89.0
Lake Town,3 BHK,1475,3.0,78.29
Madurdaha Hussainpur,3 BHK,1580,3.0,100.0
Madurdaha Hussainpur,2 BHK,1295,2.0,65.0
New Alipore,6 Bedroom,3600,6.0,141.0
New Alipore,1 BHK,589,1.0,27.0
Madurdaha Hussainpur,3 BHK,1415,3.0,78.0
Madurdaha Hussainpur,3 BHK,1787,3.0,98.29
Madurdaha Hussainpur,3 BHK,1787,3.0,125.0
Madurdaha Hussainpur,3 BHK,1475,2.0,90.0
Madurdaha Hussainpur,4 BHK,2000,4.0,75.5
New Town,2 BHK,984,2.0,44.28
New Town,3 BHK,1520 - 1740,,74.82
New Town,3 BHK,2405,4.0,260.0
New Town,2 BHK,1080,2.0,72.0
Sonarpur,2 Bedroom,1500,2.0,115.0
Sonarpur,3 BHK,1900,3.0,119.0
Sonarpur,2 BHK,805,2.0,22.14
Sonarpur,2 BHK,1153,2.0,56.4
Sonarpur,2 BHK,1148,2.0,60.0
Sonarpur,2 BHK,1110,2.0,55.0
Sonarpur,2 BHK,1100,2.0,42.0
Sonarpur,2 BHK,1290,2.0,110.0
Sonarpur,3 BHK,1500,2.0,65.0
Sonarpur,2 BHK,1080,2.0,39.0
Sonarpur,3 BHK,1933,3.0,129.0
Sonarpur,5 Bedroom,3500,5.0,150.0
Sonarpur,2 BHK,1060,2.0,60.0
Sonarpur,1 BHK,645,1.0,16.45
Sonarpur,8 Bedroom,2600,8.0,180.0
Sonarpur,1 BHK,645,1.0,16.45
Sonarpur,3 BHK,1644,3.0,84.0
Sonarpur,2 BHK,1285,2.0,72.5
Sonarpur,3 Bedroom,1200,3.0,90.0
Sonarpur,2 BHK,910,2.0,40.0
Sonarpur,3 BHK,1577,3.0,70.0
Sonarpur,3 Bedroom,4050,3.0,280.0
Sonarpur,3 BHK,2420,3.0,185.0
Sonarpur,2 BHK,800,1.0,20.0
Sonarpur,2 BHK,1060,2.0,55.0
Sonarpur,2 BHK,1270,2.0,93.0
Sonarpur,2 BHK,900,2.0,22.5
Sonarpur,2 Bedroom,1280,2.0,69.0
Sonarpur,4 Bedroom,1200,2.0,95.0
Sonarpur,2 BHK,1025,2.0,36.0
Sonarpur,2 BHK,1108,2.0,63.0
Sonarpur,5 Bedroom,1200,5.0,170.0
Sonarpur,3 BHK,3045,3.0,170.0
Sonarpur,4 Bedroom,2900,3.0,300.0
Sonarpur,3 BHK,1500,3.0,75.5
Sonarpur,2 BHK,1295,2.0,43.9
Sonarpur,2 BHK,1162,2.0,59.9
Sonarpur,2 BHK,1035,2.0,49.2
Sonarpur,4 Bedroom,1600,4.0,52.8
Sonarpur,3 BHK,1464,3.0,46.0
Bhawanipur,3 BHK,1866,2.0,61.58
Alipore,2 BHK,700,1.0,26.0
Alipore,3 BHK,1804,3.0,120.0
Mukundapur,2 BHK,913,2.0,32.0
Santoshpur,3 BHK,1868,3.0,131.0
Rajarhat,2 BHK,883,2.0,45.0
Rajarhat,2 Bedroom,900,2.0,110.0
New Town,3 BHK,1664,2.0,73.95
New Town,3 BHK,2026,3.0,132.0
New Town,2 BHK,1210,2.0,80.9
New Town,4 Bedroom,4111,4.0,250.0
New Town,3 BHK,1762,3.0,91.45
New Town,3 BHK,1252,3.0,55.0
Behala,2 BHK,861,2.0,34.5
Tangra,3 BHK,1420,2.0,100.0
Tangra,6 Bedroom,1450,6.0,250.0
Tangra,3 BHK,1490,3.0,78.8
Park Street Area,3 BHK,1075,2.0,46.0
Tangra,3 BHK,1425,2.0,94.0
Tangra,2 BHK,1200,2.0,40.0
New Town,3 BHK,1280,2.0,56.0
New Town,2 BHK,1084,2.0,50.0
New Town,2 BHK,1015,2.0,25.88
New Town,2 BHK,1017,2.0,51.25
New Town,2 BHK,1027,2.0,44.0
New Town,2 BHK,1069,2.0,45.0
New Town,2 BHK,1349,2.0,98.2
New Town,2 BHK,1005,2.0,50.0
New Town,2 BHK,1417,2.0,75.0
New Town,3 Bedroom,1475,3.0,98.0
New Town,2 BHK,950,2.0,47.0
New Town,4 BHK,2000,4.0,120.0
New Town,3 Bedroom,880,3.0,140.0
New Town,4 BHK,1863,3.0,104.0
New Town,2 BHK,1010,2.0,29.5
New Town,3 BHK,1425,2.0,70.0
New Town,3 BHK,1450,3.0,100.0
New Town,3 BHK,1847,3.0,105.0
New Town,2 BHK,1100,2.0,45.0
Alipore,1 BHK,525,1.0,26.0
Elgin,3 BHK,1665,3.0,95.0
New Alipore,4 BHK,1664,4.0,65.0
Kalighat,3 BHK,1850,3.0,150.0
Kalighat,2 BHK,1438,2.0,100.0
Tollygunge,3 BHK,1560,3.0,115.0
Dum Dum,2 BHK,1350,2.0,55.55
Dum Dum,3 BHK,1550,3.0,67.0
Dum Dum,2 BHK,1140,2.0,46.5
Dum Dum,5 Bedroom,1200,5.0,180.0
Thakurpukur,2 BHK,850,2.0,27.0
Madhyamgram,2 BHK,1280,2.0,75.0
Madhyamgram,2 BHK,1170,2.0,52.0
Madhyamgram,2 BHK,1113,2.0,51.0
Madhyamgram,2 BHK,1385,2.0,83.09
Madhyamgram,2 BHK,1128,2.0,65.0
Madhyamgram,2 Bedroom,1200,2.0,128.0
Madhyamgram,4 Bedroom,1200,4.0,165.0
Madhyamgram,3 BHK,2390,3.0,415.0
Madhyamgram,4 Bedroom,2400,4.0,400.0
Madhyamgram,3 BHK,1464,3.0,56.0
Madhyamgram,2 BHK,1200,2.0,55.0
Sodepur,2 BHK,1200,2.0,52.0
Barisha Purba Para Road,3 BHK,1150,2.0,55.0
Tollygunge,3 BHK,1645,3.0,95.0
New Town,2 BHK,1000,2.0,67.0
Ashok Nagar,4 Bedroom,2650,4.0,198.0
New Town,2 BHK,1192,2.0,74.0
New Town,3 BHK,2135,3.0,215.0
New Town,2 BHK,1173,2.0,58.0
New Town,2 BHK,1020,2.0,45.0
New Town,4 BHK,3122,6.0,230.0
Ballygunge,3 BHK,1600,3.0,64.0
Tangra,2 Bedroom,1200,2.0,79.0
Konnagar,2 BHK,1230,2.0,48.0
Konnagar,2 BHK,1250,2.0,40.0
New Town,2 BHK,1325,2.0,76.0
New Town,3 BHK,1850,3.0,150.0
New Town,1 BHK,525,,21.53
Uttarpara Kotrung,2 BHK,1200,2.0,65.0
Uttarpara Kotrung,3 Bedroom,1350,2.0,140.0
Uttarpara Kotrung,3 BHK,1260,3.0,49.36
Uttarpara Kotrung,3 BHK,1800,3.0,150.0
Uttarpara Kotrung,3 Bedroom,11,3.0,74.0
Uttarpara Kotrung,2 BHK,1100,2.0,43.25
Haltu,2 BHK,1508,2.0,77.0
raghunathpur,3 BHK,1592,3.0,75.0
Hooghly Chinsurah,2 BHK,1388,2.0,57.0
Hooghly Chinsurah,1 BHK,630,1.0,28.35
Hooghly Chinsurah,3 Bedroom,2000,3.0,365.0
Hooghly Chinsurah,3 BHK,1762,3.0,125.0
Hooghly Chinsurah,2 BHK,950,2.0,50.0
New Town,4 BHK,3252,5.0,335.0
New Town,2 BHK,1116,2.0,50.0
Salt Lake City,2 BHK,1308,2.0,89.04
New Town,3 BHK,1200,3.0,90.0
New Town,4 Bedroom,1500,4.0,230.0
Hooghly Chinsurah,1 BHK,500,1.0,18.5
Hooghly Chinsurah,2 BHK,1075,2.0,52.0
Kalighat,1 BHK,530,1.0,11.66
New Town,2 BHK,1205,2.0,66.0
New Town,2 BHK,1075,2.0,60.0
Rajarhat,2 BHK,930,2.0,39.0
New Town,2 BHK,1380,2.0,60.0
Rajarhat,4 BHK,2483,5.0,212.0
New Town,2 BHK,1166,2.0,55.0
New Town,2 BHK,1050,2.0,65.0
New Town,3 BHK,2023.71,3.0,275.0
New Town,2 BHK,1200,2.0,46.8
New Town,3 BHK,1600,2.0,108.0
New Town,3 BHK,1935,3.0,110.0
New Town,1 BHK,451,1.0,29.9
New Town,3 BHK,1800,3.0,95.0
New Town,3 BHK,1400,3.0,77.0
New Town,3 BHK,1801,3.0,115.0
New Town,2 BHK,1451,2.0,90.0
New Town,2 Bedroom,1200,1.0,36.0
New Town,2 BHK,1160,2.0,44.0
New Town,2 BHK,1000,2.0,25.0
New Town,2 BHK,950,2.0,40.0
New Town,3 BHK,1629,3.0,79.0
Rajarhat,3 BHK,1580,2.0,134.0
New Town,3 BHK,1826,3.0,121.0
Salt Lake City,2 BHK,1245,2.0,94.0
New Town,2 BHK,1145,2.0,45.79
New Town,2 BHK,825,2.0,33.0
New Town,3 BHK,1693,3.0,108.0
New Town,2 BHK,1113.27,2.0,53.0
New Town,2 BHK,1460,2.0,58.0
New Town,2 BHK,1050,2.0,32.0
New Town,2 BHK,1260,2.0,55.0
Rajarhat,6 BHK,700,3.0,120.0
New Town,2 BHK,1656,2.0,120.0
Rajarhat,3 BHK,1208,3.0,45.0
Rajarhat,3 BHK,1910,3.0,161.0
New Town,4 BHK,3252,4.0,230.0
Salt Lake City,2 Bedroom,1200,2.0,65.0
New Town,4 BHK,1200,4.0,175.0
Rajarhat,2 BHK,1175,2.0,82.0
New Town,2 Bedroom,1000,2.0,165.0
New Town,4 Bedroom,1200,2.0,125.0
New Town,3 BHK,2390,3.0,410.0
New Town,7 BHK,12000,6.0,2200.0
New Town,2 Bedroom,550,1.0,62.0
New Town,1 BHK,34.46Sq. Meter,1.0,18.5
New Town,2 BHK,1185,2.0,38.0
New Town,2 BHK,750,2.0,38.0
New Town,6 Bedroom,1200,7.0,250.0
Rajarhat,3 BHK,1550,3.0,64.5
Rajarhat,3 BHK,1760,3.0,88.0
Kaikhali,2 BHK,1125,2.0,62.0
New Town,3 Bedroom,1350,3.0,150.0
New Town,2 Bedroom,1000,2.0,55.0
Rajarhat,2 BHK,1090,2.0,31.48
New Town,2 Bedroom,1200,2.0,60.0
New Town,3 BHK,1991,4.0,103.0
New Town,2 BHK,1060,2.0,26.5
New Town,2 BHK,1105,2.0,75.0
Rajarhat,2 BHK,985,2.0,67.0
Rajarhat,6 Bedroom,1533,5.0,85.0
New Town,3 BHK,1590,3.0,79.0
New Town,2 BHK,1120,2.0,55.0
New Town,2 BHK,1069,2.0,55.0
New Town,3 BHK,1933,3.0,140.0
New Town,2 BHK,1194,2.0,69.0
New Town,2 BHK,1150,2.0,69.0
New Town,2 BHK,1240,2.0,47.12
New Town,2 BHK,1419,2.0,48.1
Rajarhat,8 Bedroom,1200,8.0,250.0
New Town,3 BHK,2150,4.0,240.0
New Town,3 BHK,1450,3.0,55.0
New Town,3 BHK,1630,3.0,68.29
New Town,2 BHK,708,1.0,40.0
Rajarhat,3 Bedroom,1000,4.0,110.0
Tollygunge,4 Bedroom,11890,4.0,700.0
Tollygunge,2 BHK,1250,2.0,76.0
New Alipore,3 BHK,1400,2.0,95.0
New Town,3 BHK,1670,2.0,57.0
Chinar Park,3 BHK,1750,3.0,100.0
Chinar Park,2 BHK,1404,2.0,71.0
Chinar Park,3 BHK,1715,2.0,95.0
Rajarhat,1 BHK,630,1.0,34.65
New Town,3 BHK,1752.12,3.0,135.0
New Town,3 BHK,1650,3.0,78.0
New Town,2 BHK,1295,2.0,55.47
New Town,3 Bedroom,1800,3.0,252.0
Dum Dum Park,2 BHK,1346,2.0,74.03
Ultadanga,4 Bedroom,1200,4.0,200.0
Baranagar,2 BHK,1150,2.0,55.0
Dum Dum,4 Bedroom,3309,4.0,325.0
Dum Dum Park,3 BHK,1190,2.0,30.35
Dum Dum,3 BHK,1620,3.0,98.0
Chandannagar,2 BHK,950,2.0,46.96
Chandannagar,11 BHK,5000,9.0,360.0
Garia,3 BHK,2450,3.0,120.0
Garfa,3 BHK,1220,2.0,35.23
Sonarpur,2 BHK,850,2.0,30.0
Sonarpur,2 BHK,1020,2.0,63.0
Kaikhali,2 BHK,1100,2.0,50.0
Kaikhali,2 BHK,1150,2.0,126.0
Kaikhali,3 BHK,1760,2.0,130.0
Kaikhali,3 BHK,1800,3.0,110.0
Kaikhali,2 BHK,1070,2.0,54.0
Kaikhali,4 Bedroom,1500,4.0,220.0
New Town,2 Bedroom,1440,2.0,95.0
Narendrapur,2 BHK,900,2.0,40.0
Rajarhat,4 BHK,1200,4.0,230.0
Chinar Park,2 BHK,1130,2.0,42.16
Rajarhat,2 BHK,1320,2.0,165.0
Rajarhat,2 BHK,1270,2.0,98.0
Rajarhat,2 BHK,1200,2.0,62.0
Rajarhat,4 BHK,4800,4.0,235.0
Rajarhat,2 BHK,1200,2.0,74.0
Dum Dum,2 BHK,929,2.0,50.17
Dum Dum,4 BHK,1150,4.0,260.0
Dum Dum,4 Bedroom,1125,4.0,180.0
Dum Dum,5 Bedroom,500,3.0,65.0
Dum Dum,5 Bedroom,1200,5.0,190.0
Dum Dum,3 BHK,1464,3.0,56.0
Dum Dum,4 BHK,3600,4.0,400.0
Dum Dum,4 Bedroom,2000,4.0,99.0
Lake Town,2 BHK,1208,2.0,49.0
Jorabagan,2 BHK,1130,2.0,60.0
Dum Dum Park,3 BHK,1753,3.0,120.0
Lake Town,5 BHK,4500,7.0,337.0
Baranagar,3 Bedroom,600,3.0,58.0
Baranagar,2 BHK,1196,2.0,94.42
New Town,2 BHK,1150,3.0,52.5
New Town,2 BHK,1128,2.0,63.0
Salt Lake City,2 BHK,1000,2.0,53.0
Hooghly Chinsurah,2 BHK,1035,2.0,45.0
Chandannagar,2 BHK,950,2.0,32.0
Chandannagar,3 BHK,1075,2.0,36.0
Bhadreswar,2 BHK,1040,2.0,48.5
Baidyabati,2 Bedroom,720,2.0,45.0
Chandannagar,3 BHK,1511,3.0,95.0
Bhadreswar,3 BHK,1300,3.0,58.0
Bhadreswar,3 BHK,1545,3.0,68.75
Bhadreswar,1 BHK,375,2.0,26.0
New Town,2 BHK,1062,2.0,38.0
New Town,2 BHK,1115,2.0,40.0
New Town,2 BHK,1000,2.0,35.0
New Town,2 BHK,883,2.0,45.0
New Town,2 BHK,1195,2.0,70.0
New Town,4 Bedroom,1200,3.0,165.0
New Town,1 Bedroom,700,1.0,41.0
New Town,2 BHK,1246,2.0,67.0
Hooghly Chinsurah,4 Bedroom,660,4.0,90.0
New Town,4 Bedroom,8500,4.0,145.0
Dum Dum,4 BHK,1600,4.0,80.0
Dum Dum,4 BHK,2805,5.0,154.0
Alipore,3 BHK,1584,3.0,65.0
Alipore,4 Bedroom,3000,5.0,275.0
Tangra,3 BHK,1175,2.0,48.0
Tangra,3 BHK,1595,3.0,115.0
Madurdaha Hussainpur,2 BHK,1353,2.0,110.0
Madurdaha Hussainpur,3 BHK,1599,3.0,125.0
Ballygunge,2 BHK,1150,2.0,70.0
Tangra,4 BHK,5230,6.0,465.0
Topsia,2 BHK,1155,2.0,42.74
Park Street Area,1 BHK,1200,2.0,85.0
Park Street Area,2 BHK,1000,2.0,25.0
Dhapa,4 BHK,3000,4.0,120.0
Baguiati,3 BHK,1867,3.0,160.0
Keshtopur,2 BHK,1251,2.0,47.0
Keshtopur,2 BHK,1028,2.0,45.5
Keshtopur,2 BHK,1222,2.0,45.0
Keshtopur,3 BHK,1170,2.0,66.0
New Town,3 BHK,2400,4.0,245.0
New Town,3 BHK,1385,2.0,48.48
Keshtopur,2 BHK,1372,2.0,68.0
Keshtopur,3 BHK,1282,2.0,49.0
Keshtopur,9 BHK,5000,9.0,210.0
Garfa,5 Bedroom,3000,3.0,528.0
Keshtopur,2 BHK,1135,2.0,39.73
Baguiati,3 BHK,1768,3.0,101.0
Santoshpur,3 BHK,1325,2.0,90.0
Dum Dum,3 BHK,1599,3.0,99.0
Dum Dum,3 Bedroom,1500,3.0,61.95
Dum Dum,3 Bedroom,2610,3.0,499.0
New Town,2 BHK,1286,2.0,63.0
Santoshpur,5 BHK,2845,5.0,140.0
Sodepur,3 BHK,1600,2.0,50.0
Sodepur,2 BHK,1195 - 1440,2.0,63.77
Rajarhat,3 BHK,3450,5.0,260.0
Tangra,2 BHK,1102,2.0,53.67
Tangra,2 BHK,1350,2.0,54.0
Tangra,3 BHK,1200,2.0,42.0
Tangra,6 Bedroom,1300,6.0,145.0
Tangra,2 Bedroom,1800,1.0,80.0
Tangra,2 BHK,950,2.0,40.0
Tangra,1 BHK,525,1.0,27.25
Tangra,2 BHK,656,2.0,25.0
Tangra,4 Bedroom,1780,4.0,175.0
Ultadanga,2 BHK,1056,2.0,80.0
Ultadanga,1 BHK,595,1.0,33.32
Ultadanga,2 BHK,1080,2.0,50.0
Ultadanga,3 BHK,2225,3.0,160.0
Ultadanga,2 BHK,1126,2.0,28.15
New Town,3 BHK,1490,3.0,84.0
Salt Lake City,4 Bedroom,2000,4.0,300.0
New Town,3 BHK,1550,3.0,100.0
Baguiati,3 BHK,1600,3.0,86.0
New Town,2 BHK,1160,2.0,55.0
New Town,4 Bedroom,4144,4.0,315.0
New Town,3 BHK,2100,3.0,125.0
New Town,2 BHK,1404,2.0,69.3
New Town,4 Bedroom,2230,4.0,225.0
New Town,3 BHK,1544,3.0,120.0
Salt Lake City,3 BHK,1305,2.0,58.7
New Town,2 BHK,1230,2.0,80.0
Rajarhat,2 Bedroom,1200,2.0,65.0
New Town,3 BHK,1460,3.0,73.0
Garia,,1200 - 2400,,34.185
New Town,2 BHK,967,2.0,45.0
New Town,1 Bedroom,540,1.0,36.0
New Town,1 BHK,715,1.0,46.0
New Town,3 BHK,2500,3.0,313.0
New Town,3 BHK,1578,3.0,180.0
New Town,2 BHK,1020,2.0,48.95
New Town,2 BHK,1020,2.0,40.0
New Town,2 BHK,1253,2.0,102.0
New Town,2 BHK,1180,2.0,42.0
New Town,2 BHK,961,2.0,38.0
New Town,3 BHK,1419,3.0,75.0
New Town,3 BHK,1709,3.0,150.0
south dum dum,2 Bedroom,1600,2.0,115.0
Netaji Nagar,1 BHK,416,1.0,18.5
Dum Dum,2 BHK,1100,2.0,98.0
